Experiment,Treatment,Replicate,OAV after 2 h
exper,treat,rep,oav
Experiment 1,CC-CM,1,28.48
Experiment 1,CC-CM,2,25.80
Experiment 1,CC-CM,3,32.73
Experiment 1,D-CM,1,47.80
Experiment 1,D-CM,2,68.07
Experiment 1,D-CM,3,55.82
Experiment 1,U-CM,1,51.32
Experiment 1,U-CM,2,67.97
Experiment 1,U-CM,3,60.99
Experiment 2,CC-CM,1,80.396
Experiment 2,CC-CM,2,61.411
Experiment 2,CC-CM,3,69.675
Experiment 2,D-CM,1,137.323
Experiment 2,D-CM,2,115.825
Experiment 2,D-CM,3,154.733
Experiment 2,U-CM,1,178.041
Experiment 2,U-CM,2,185.098
Experiment 2,U-CM,3,174.876
